delay_n,queue_n,throughput_n,energy_n,action,reward
0.35673921022114996,0.5264493174619003,0.7375231615623911,1.0044998490525918,2,-0.20765870933401437
0.4562143221094797,0.5159294232787566,0.5664458354246643,0.9154505533535331,2,-0.5862669679752662
0.38136194080361463,0.5141533560366742,0.6755527840765806,0.9765367595266672,2,-0.20087066866748837
0.264573736751442,0.49661694837809467,0.9442514262575258,1.1433005364364908,2,0.5886560006149573
0.3244450707517482,0.4826719331839453,0.7508721707787318,1.040060156877628,2,0.04363613551625689
0.37793624941089227,0.481496470990917,0.6432130834247571,0.9382534880539903,2,-0.2336134806284984
0.3695937650889974,0.4800829882962816,0.6560293455975448,0.9582283738151584,2,-0.20844205410809802
0.37662482481750253,0.4894612401500524,0.6548662938749464,0.9536691318885665,2,-0.21915446584301557
0.4520008757267034,0.47950938530150156,0.5358596422714079,0.8783894329907778,2,-0.6140069741253497
0.25210526159617946,0.4726613422044964,0.9486543524363638,1.1252211197623563,2,0.6539208544731978
0.3616914149005068,0.48171451227206524,0.6723703885702708,0.9731377365516476,2,-0.16597826891767298
0.30976705090072715,0.4780034497051024,0.7797429997064147,1.0322104179874485,2,0.17137927033661704
0.1943562412928756,0.30199711553115705,0.8396585266626708,1.0682489207549675,2,0.52788971626981
0.19570431264453172,0.2871382590268456,0.8000781414252592,1.041390450014983,2,0.4467401239642399
0.2212726705104684,0.2744696684961531,0.6821428259525207,0.9743281797988022,2,0.1423908671384222
0.19627045359980458,0.29176902939144655,0.8082726546511493,1.035316339680651,2,0.47930254723286203
0.22937037990114303,0.27937103888724607,0.6675723126561272,0.962524428447125,2,0.10018953549540788
0.2303024668576234,0.2674510999252884,0.641831530428894,0.9652266146920798,2,0.017049735533315236
0.18400005362427038,0.26348013065953013,0.7937377286046935,1.046228956460335,2,0.44386964387503713
0.1906876038087107,0.26016966083853504,0.758173002071042,1.0349118482493325,2,0.34077602622170566
0.18317055092619533,0.26675430002498535,0.805288934411473,1.0406127966524863,2,0.4886065064032987
0.1490300311866195,0.25954273019500224,0.9682285230863762,1.1605014199990458,2,0.8658733768873208
0.20093504265142148,0.24673302833629251,0.6897409940229469,0.9866255642767435,2,0.18741455035088217
0.14338720329129126,0.22976072990039517,0.9138768507770051,1.1056169690913982,2,0.7964306921113355
